# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-07-31 17:35:50 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 414525074360601 Local number, Sv-535, Woodbourne NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 414525074360601
#            TS   parameter     statistic     Description
#        106190       72019     00003     Depth to water level, feet below land surface (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	106190_72019_00003	106190_72019_00003_cd
USGS	414525074360601	2009-06-15	9.06	A
USGS	414525074360601	2009-06-16	9.00	A
USGS	414525074360601	2009-06-17	8.98	A
USGS	414525074360601	2009-06-18	8.69	A
USGS	414525074360601	2009-06-19	7.59	A
USGS	414525074360601	2009-06-20	7.12	A
USGS	414525074360601	2009-06-21	6.10	A
USGS	414525074360601	2009-06-22	5.82	A
USGS	414525074360601	2009-06-23	6.06	A
USGS	414525074360601	2009-06-24	6.35	A
USGS	414525074360601	2009-06-25	6.62	A
USGS	414525074360601	2009-06-26	6.87	A
USGS	414525074360601	2009-06-27	7.07	A
USGS	414525074360601	2009-06-28	7.31	A
USGS	414525074360601	2009-06-29	7.56	A
USGS	414525074360601	2009-06-30	7.83	A
USGS	414525074360601	2009-07-01	8.03	A
USGS	414525074360601	2009-07-02	8.18	A
USGS	414525074360601	2009-07-03	8.30	A
USGS	414525074360601	2009-07-04	8.43	A
USGS	414525074360601	2009-07-05	8.59	A
USGS	414525074360601	2009-07-06	8.74	A
USGS	414525074360601	2009-07-07	8.86	A
USGS	414525074360601	2009-07-08	8.86	A
USGS	414525074360601	2009-07-09	8.92	A
USGS	414525074360601	2009-07-10	9.04	A
USGS	414525074360601	2009-07-11	9.14	A
USGS	414525074360601	2009-07-12	9.22	A
USGS	414525074360601	2009-07-13	9.30	A
USGS	414525074360601	2009-07-14	9.39	A
USGS	414525074360601	2009-07-15	9.47	A
USGS	414525074360601	2009-07-16	9.54	A
USGS	414525074360601	2009-07-17	9.61	A
USGS	414525074360601	2009-07-18	9.57	A
USGS	414525074360601	2009-07-19	9.63	A
USGS	414525074360601	2009-07-20	9.68	A
USGS	414525074360601	2009-07-21	9.73	A
USGS	414525074360601	2009-07-22	9.78	A
USGS	414525074360601	2009-07-23	9.82	A
USGS	414525074360601	2009-07-24	9.85	A
USGS	414525074360601	2009-07-25	9.60	A
USGS	414525074360601	2009-07-26	9.53	A
USGS	414525074360601	2009-07-27	9.61	A
USGS	414525074360601	2009-07-28	9.68	A
USGS	414525074360601	2009-07-29	9.66	A
USGS	414525074360601	2009-07-30	8.10	A
USGS	414525074360601	2009-07-31	7.28	A
USGS	414525074360601	2009-08-01	7.13	A
USGS	414525074360601	2009-08-02	7.09	A
USGS	414525074360601	2009-08-03	7.13	A
USGS	414525074360601	2009-08-04	7.26	A
USGS	414525074360601	2009-08-05	7.46	A
USGS	414525074360601	2009-08-06	7.71	A
USGS	414525074360601	2009-08-07	7.96	A
USGS	414525074360601	2009-08-08	8.21	A
USGS	414525074360601	2009-08-09	8.40	A
USGS	414525074360601	2009-08-10	7.52	A
USGS	414525074360601	2009-08-11	6.92	A
USGS	414525074360601	2009-08-12	7.10	A
USGS	414525074360601	2009-08-13	7.32	A
USGS	414525074360601	2009-08-14	7.55	A
USGS	414525074360601	2009-08-15	7.78	A
USGS	414525074360601	2009-08-16	8.01	A
USGS	414525074360601	2009-08-17	8.21	A
USGS	414525074360601	2009-08-18	8.38	A
USGS	414525074360601	2009-08-19	8.56	A
USGS	414525074360601	2009-08-20	8.71	A
USGS	414525074360601	2009-08-21	8.68	A
USGS	414525074360601	2009-08-22	7.86	A
USGS	414525074360601	2009-08-23	7.72	A
USGS	414525074360601	2009-08-24	7.88	A
USGS	414525074360601	2009-08-25	8.09	A
USGS	414525074360601	2009-08-26	8.28	A
USGS	414525074360601	2009-08-27	8.45	A
USGS	414525074360601	2009-08-28	8.60	A
USGS	414525074360601	2009-08-29	8.68	A
USGS	414525074360601	2009-08-30	8.78	A
USGS	414525074360601	2009-08-31	8.87	A
USGS	414525074360601	2009-09-01	8.98	A
USGS	414525074360601	2009-09-02	9.09	A
USGS	414525074360601	2009-09-03	9.18	A
USGS	414525074360601	2009-09-04	9.28	A
USGS	414525074360601	2009-09-05	9.37	A
USGS	414525074360601	2009-09-06	9.45	A
USGS	414525074360601	2009-09-07	9.52	A
USGS	414525074360601	2009-09-08	9.58	A
USGS	414525074360601	2009-09-09	9.65	A
USGS	414525074360601	2009-09-10	9.71	A
USGS	414525074360601	2009-09-11	9.75	A
USGS	414525074360601	2009-09-12	9.79	A
USGS	414525074360601	2009-09-13	9.84	A
USGS	414525074360601	2009-09-14	9.87	A
USGS	414525074360601	2009-09-15	9.92	A
USGS	414525074360601	2009-09-16	9.97	A
USGS	414525074360601	2009-09-17	10.01	A
USGS	414525074360601	2009-09-18	10.05	A
USGS	414525074360601	2009-09-19	10.10	A
USGS	414525074360601	2009-09-20	10.14	A
USGS	414525074360601	2009-09-21	10.18	A
USGS	414525074360601	2009-09-22	10.22	A
USGS	414525074360601	2009-09-23	10.25	A
USGS	414525074360601	2009-09-24	10.28	A
USGS	414525074360601	2009-09-25	10.31	A
USGS	414525074360601	2009-09-26	10.34	A
USGS	414525074360601	2009-09-27	10.34	A
USGS	414525074360601	2009-09-28	10.30	A
USGS	414525074360601	2009-09-29	10.32	A
USGS	414525074360601	2009-09-30	10.35	A
USGS	414525074360601	2009-10-01	10.37	A
USGS	414525074360601	2009-10-02	10.39	A
USGS	414525074360601	2009-10-03	10.40	A
USGS	414525074360601	2009-10-04	10.42	A
USGS	414525074360601	2009-10-05	10.44	A
USGS	414525074360601	2009-10-06	10.46	A
USGS	414525074360601	2009-10-07	10.47	A
USGS	414525074360601	2009-10-08	10.49	A
USGS	414525074360601	2009-10-09	10.50	A
USGS	414525074360601	2009-10-10	10.50	A
USGS	414525074360601	2009-10-11	10.50	A
USGS	414525074360601	2009-10-12	10.51	A
USGS	414525074360601	2009-10-13	10.52	A
USGS	414525074360601	2009-10-14	10.53	A
USGS	414525074360601	2009-10-15	10.54	A
USGS	414525074360601	2009-10-16	10.55	A
USGS	414525074360601	2009-10-17	10.56	A
USGS	414525074360601	2009-10-18	10.57	A
USGS	414525074360601	2009-10-19	10.58	A
USGS	414525074360601	2009-10-20	10.59	A
USGS	414525074360601	2009-10-21	10.60	A
USGS	414525074360601	2009-10-22	10.60	A
USGS	414525074360601	2009-10-23	10.62	A
USGS	414525074360601	2009-10-24	10.49	A
USGS	414525074360601	2009-10-25	9.41	A
USGS	414525074360601	2009-10-26	8.87	A
USGS	414525074360601	2009-10-27	8.81	A
USGS	414525074360601	2009-10-28	8.72	A
USGS	414525074360601	2009-10-29	8.00	A
USGS	414525074360601	2009-10-30	7.80	A
USGS	414525074360601	2009-10-31	7.92	A
USGS	414525074360601	2009-11-01	8.09	A
USGS	414525074360601	2009-11-02	8.23	A
USGS	414525074360601	2009-11-03	8.35	A
USGS	414525074360601	2009-11-04	8.48	A
USGS	414525074360601	2009-11-05	8.59	A
USGS	414525074360601	2009-11-06	8.71	A
USGS	414525074360601	2009-11-07	8.84	A
USGS	414525074360601	2009-11-08	8.97	A
USGS	414525074360601	2009-11-09	9.10	A
USGS	414525074360601	2009-11-10	9.20	A
USGS	414525074360601	2009-11-11	9.30	A
USGS	414525074360601	2009-11-12	9.38	A
USGS	414525074360601	2009-11-13	9.45	A
USGS	414525074360601	2009-11-14	9.48	A
USGS	414525074360601	2009-11-15	9.45	A
USGS	414525074360601	2009-11-16	9.52	A
USGS	414525074360601	2009-11-17	9.60	A
USGS	414525074360601	2009-11-18	9.66	A
USGS	414525074360601	2009-11-19	9.70	A
USGS	414525074360601	2009-11-20	9.56	A
USGS	414525074360601	2009-11-21	9.31	A
USGS	414525074360601	2009-11-22	9.25	A
USGS	414525074360601	2009-11-23	9.23	A
USGS	414525074360601	2009-11-24	9.23	A
USGS	414525074360601	2009-11-25	9.24	A
USGS	414525074360601	2009-11-26	9.26	A
USGS	414525074360601	2009-11-27	9.27	A
USGS	414525074360601	2009-11-28	9.35	A
USGS	414525074360601	2009-11-29	9.42	A
USGS	414525074360601	2009-11-30	9.49	A
USGS	414525074360601	2009-12-01	9.55	A
USGS	414525074360601	2009-12-02	9.60	A
USGS	414525074360601	2009-12-03	9.26	A
USGS	414525074360601	2009-12-04	8.54	A
USGS	414525074360601	2009-12-05	8.39	A
USGS	414525074360601	2009-12-06	8.46	A
USGS	414525074360601	2009-12-07	8.54	A
USGS	414525074360601	2009-12-08	8.63	A
USGS	414525074360601	2009-12-09	8.66	A
USGS	414525074360601	2009-12-10	8.75	A
USGS	414525074360601	2009-12-11	8.83	A
USGS	414525074360601	2009-12-12	8.90	A
USGS	414525074360601	2009-12-13	8.94	A
USGS	414525074360601	2009-12-14	8.88	A
USGS	414525074360601	2009-12-15	8.78	A
USGS	414525074360601	2009-12-16	8.71	A
USGS	414525074360601	2009-12-17	8.66	A
USGS	414525074360601	2009-12-18	8.66	A
USGS	414525074360601	2009-12-19	8.67	A
USGS	414525074360601	2009-12-20	8.71	A
USGS	414525074360601	2009-12-21	8.77	A
USGS	414525074360601	2009-12-22	8.85	A
USGS	414525074360601	2009-12-23	8.95	A
USGS	414525074360601	2009-12-24	9.05	A
USGS	414525074360601	2009-12-25	9.13	A
USGS	414525074360601	2009-12-26	9.17	A
USGS	414525074360601	2009-12-27	8.70	A
USGS	414525074360601	2009-12-28	7.95	A
USGS	414525074360601	2009-12-29	7.91	A
USGS	414525074360601	2009-12-30	8.07	A
USGS	414525074360601	2009-12-31	8.17	A
USGS	414525074360601	2010-01-01	8.26	A
USGS	414525074360601	2010-01-02	8.33	A
USGS	414525074360601	2010-01-03	8.42	A
USGS	414525074360601	2010-01-04	8.53	A
USGS	414525074360601	2010-01-05	8.63	A
USGS	414525074360601	2010-01-06	8.71	A
USGS	414525074360601	2010-01-07	8.80	A
USGS	414525074360601	2010-01-08	8.87	A
USGS	414525074360601	2010-01-09	8.99	A
USGS	414525074360601	2010-01-10	9.10	A
USGS	414525074360601	2010-01-11	9.18	A
USGS	414525074360601	2010-01-12	9.25	A
USGS	414525074360601	2010-01-13	9.34	A
USGS	414525074360601	2010-01-14	9.41	A
USGS	414525074360601	2010-01-15	9.47	A
USGS	414525074360601	2010-01-16	9.54	A
USGS	414525074360601	2010-01-17	9.58	A
USGS	414525074360601	2010-01-18	9.58	A
USGS	414525074360601	2010-01-19	9.51	A
USGS	414525074360601	2010-01-20	9.47	A
USGS	414525074360601	2010-01-21	9.46	A
USGS	414525074360601	2010-01-22	9.45	A
USGS	414525074360601	2010-01-23	9.48	A
USGS	414525074360601	2010-01-24	9.50	A
USGS	414525074360601	2010-01-25	8.95	A
USGS	414525074360601	2010-01-26	7.52	A
USGS	414525074360601	2010-01-27	7.47	A
USGS	414525074360601	2010-01-28	7.61	A
USGS	414525074360601	2010-01-29	7.83	A
USGS	414525074360601	2010-01-30	8.01	A
USGS	414525074360601	2010-01-31	8.17	A
USGS	414525074360601	2010-02-01	8.32	A
USGS	414525074360601	2010-02-02	8.45	A
USGS	414525074360601	2010-02-03	8.57	A
USGS	414525074360601	2010-02-04	8.70	A
USGS	414525074360601	2010-02-05	8.82	A
USGS	414525074360601	2010-02-06	8.93	A
USGS	414525074360601	2010-02-07	9.06	A
USGS	414525074360601	2010-02-08	9.17	A
USGS	414525074360601	2010-02-09	9.26	A
USGS	414525074360601	2010-02-10	9.32	A
USGS	414525074360601	2010-02-11	9.41	A
USGS	414525074360601	2010-02-12	9.50	A
USGS	414525074360601	2010-02-13	9.57	A
USGS	414525074360601	2010-02-14	9.64	A
USGS	414525074360601	2010-02-15	9.71	A
USGS	414525074360601	2010-02-16	9.77	A
USGS	414525074360601	2010-02-17	9.82	A
USGS	414525074360601	2010-02-18	9.88	A
USGS	414525074360601	2010-02-19	9.93	A
USGS	414525074360601	2010-02-20	9.97	A
USGS	414525074360601	2010-02-21	10.01	A
USGS	414525074360601	2010-02-22	10.04	A
USGS	414525074360601	2010-02-23	10.07	A
USGS	414525074360601	2010-02-24	10.09	A
USGS	414525074360601	2010-02-25	10.06	A
USGS	414525074360601	2010-02-26	10.04	A
USGS	414525074360601	2010-02-27	10.01	A
USGS	414525074360601	2010-02-28	9.97	A
USGS	414525074360601	2010-03-01	9.91	A
USGS	414525074360601	2010-03-02	9.85	A
USGS	414525074360601	2010-03-03	9.76	A
USGS	414525074360601	2010-03-04	9.67	A
USGS	414525074360601	2010-03-05	9.61	A
USGS	414525074360601	2010-03-06	9.55	A
USGS	414525074360601	2010-03-07	9.47	A
USGS	414525074360601	2010-03-08	9.30	A
USGS	414525074360601	2010-03-09	9.01	A
USGS	414525074360601	2010-03-10	8.73	A
USGS	414525074360601	2010-03-11	8.51	A
USGS	414525074360601	2010-03-12	8.07	A
USGS	414525074360601	2010-03-13	7.43	A
USGS	414525074360601	2010-03-14	6.21	A
USGS	414525074360601	2010-03-15	6.03	A
USGS	414525074360601	2010-03-16	6.10	A
USGS	414525074360601	2010-03-17	6.28	A
USGS	414525074360601	2010-03-18	6.49	A
USGS	414525074360601	2010-03-19	6.73	A
USGS	414525074360601	2010-03-20	6.97	A
USGS	414525074360601	2010-03-21	7.17	A
USGS	414525074360601	2010-03-22	7.32	A
USGS	414525074360601	2010-03-23	6.40	A
USGS	414525074360601	2010-03-24	5.94	A
USGS	414525074360601	2010-03-25	5.96	A
USGS	414525074360601	2010-03-26	6.11	A
USGS	414525074360601	2010-03-27	6.28	A
USGS	414525074360601	2010-03-28	6.41	A
USGS	414525074360601	2010-03-29	6.21	A
USGS	414525074360601	2010-03-30	5.83	A
USGS	414525074360601	2010-03-31	5.14	A
USGS	414525074360601	2010-04-01	5.12	A
USGS	414525074360601	2010-04-02	5.36	A
USGS	414525074360601	2010-04-03	5.57	A
USGS	414525074360601	2010-04-04	5.79	A
USGS	414525074360601	2010-04-05	5.99	A
USGS	414525074360601	2010-04-06	6.18	A
USGS	414525074360601	2010-04-07	6.39	A
USGS	414525074360601	2010-04-08	6.64	A
USGS	414525074360601	2010-04-09	6.91	A
USGS	414525074360601	2010-04-10	7.20	A
USGS	414525074360601	2010-04-11	7.44	A
USGS	414525074360601	2010-04-12	7.69	A
USGS	414525074360601	2010-04-13	7.93	A
USGS	414525074360601	2010-04-14	8.13	A
USGS	414525074360601	2010-04-15	8.31	A
USGS	414525074360601	2010-04-16	8.46	A
USGS	414525074360601	2010-04-17	8.58	A
USGS	414525074360601	2010-04-18	8.69	A
USGS	414525074360601	2010-04-19	8.80	A
USGS	414525074360601	2010-04-20	8.91	A
USGS	414525074360601	2010-04-21	9.03	A
USGS	414525074360601	2010-04-22	9.14	A
USGS	414525074360601	2010-04-23	9.25	A
USGS	414525074360601	2010-04-24	9.35	A
USGS	414525074360601	2010-04-25	9.39	A
USGS	414525074360601	2010-04-26	9.36	A
USGS	414525074360601	2010-04-27	9.29	A
USGS	414525074360601	2010-04-28	9.25	A
USGS	414525074360601	2010-04-29	9.26	A
USGS	414525074360601	2010-04-30	9.27	A
USGS	414525074360601	2010-05-01	9.31	A
USGS	414525074360601	2010-05-02	9.36	A
USGS	414525074360601	2010-05-03	9.42	A
USGS	414525074360601	2010-05-04	9.46	A
USGS	414525074360601	2010-05-05	9.51	A
USGS	414525074360601	2010-05-06	9.57	A
USGS	414525074360601	2010-05-07	9.63	A
USGS	414525074360601	2010-05-08	9.65	A
USGS	414525074360601	2010-05-09	9.63	A
USGS	414525074360601	2010-05-10	9.68	A
USGS	414525074360601	2010-05-11	9.73	A
USGS	414525074360601	2010-05-12	9.75	A
USGS	414525074360601	2010-05-13	9.71	A
USGS	414525074360601	2010-05-14	9.68	A
USGS	414525074360601	2010-05-15	9.70	A
USGS	414525074360601	2010-05-16	9.76	A
USGS	414525074360601	2010-05-17	9.82	A
USGS	414525074360601	2010-05-18	9.85	A
USGS	414525074360601	2010-05-19	9.79	A
USGS	414525074360601	2010-05-20	9.75	A
USGS	414525074360601	2010-05-21	9.80	A
USGS	414525074360601	2010-05-22	9.86	A
USGS	414525074360601	2010-05-23	9.90	A
USGS	414525074360601	2010-05-24	9.93	A
USGS	414525074360601	2010-05-25	9.96	A
USGS	414525074360601	2010-05-26	9.98	A
USGS	414525074360601	2010-05-27	10.01	A
USGS	414525074360601	2010-05-28	10.03	A
USGS	414525074360601	2010-05-29	10.05	A
USGS	414525074360601	2010-05-30	10.07	A
USGS	414525074360601	2010-05-31	10.09	A
USGS	414525074360601	2010-06-01	10.11	A
USGS	414525074360601	2010-06-02	10.13	A
USGS	414525074360601	2010-06-03	10.14	A
USGS	414525074360601	2010-06-04	10.16	A
USGS	414525074360601	2010-06-05	10.18	A
USGS	414525074360601	2010-06-06	10.19	A
USGS	414525074360601	2010-06-07	10.20	A
USGS	414525074360601	2010-06-08	10.22	A
USGS	414525074360601	2010-06-09	10.22	A
USGS	414525074360601	2010-06-10	10.12	A
USGS	414525074360601	2010-06-11	10.12	A
USGS	414525074360601	2010-06-12	10.13	A
USGS	414525074360601	2010-06-13	10.04	A
USGS	414525074360601	2010-06-14	9.92	A
USGS	414525074360601	2010-06-15	9.89	A
USGS	414525074360601	2010-06-16	9.94	A
USGS	414525074360601	2010-06-17	9.99	A
USGS	414525074360601	2010-06-18	10.03	A
USGS	414525074360601	2010-06-19	10.07	A
USGS	414525074360601	2010-06-20	10.10	A
USGS	414525074360601	2010-06-21	10.13	A
USGS	414525074360601	2010-06-22	10.15	A
USGS	414525074360601	2010-06-23	9.94	A
USGS	414525074360601	2010-06-24	9.84	A
USGS	414525074360601	2010-06-25	9.91	A
USGS	414525074360601	2010-06-26	9.97	A
USGS	414525074360601	2010-06-27	10.01	A
USGS	414525074360601	2010-06-28	10.06	A
USGS	414525074360601	2010-06-29	10.11	A
USGS	414525074360601	2010-06-30	10.15	A
USGS	414525074360601	2010-07-01	10.19	A
USGS	414525074360601	2010-07-02	10.22	A
USGS	414525074360601	2010-07-03	10.23	A
USGS	414525074360601	2010-07-04	10.26	A
USGS	414525074360601	2010-07-05	10.29	A
USGS	414525074360601	2010-07-06	10.32	A
USGS	414525074360601	2010-07-07	10.36	A
USGS	414525074360601	2010-07-08	10.39	A
USGS	414525074360601	2010-07-09	10.42	A
USGS	414525074360601	2010-07-10	10.45	A
USGS	414525074360601	2010-07-11	10.48	A
USGS	414525074360601	2010-07-12	10.51	A
USGS	414525074360601	2010-07-13	10.53	A
USGS	414525074360601	2010-07-14	10.55	A
USGS	414525074360601	2010-07-15	10.57	A
USGS	414525074360601	2010-07-16	10.58	A
USGS	414525074360601	2010-07-17	10.60	A
